"00:06:57,179","00:07:01,475
", ,JOHN BRIDGER

"00:07:01,559","00:07:03,728
", ,HANDSOME ROB

"00:07:03,811","00:07:05,521
",place,LYLE

"00:07:05,605","00:07:07,940
", ,CHARLIE

"00:07:08,024","00:07:10,067
", ,CHARLIE

"00:07:10,151","00:07:11,193
", ,RICHARD

"00:07:11,277","00:07:12,653
", ,STEVE

"00:07:12,695","00:07:15,072
", ,STEVE

"00:07:15,197","00:07:19,577
", ,JOHN BRIDGER

"00:08:07,792","00:08:08,751
", ,LYLE

"00:08:26,143","00:08:28,187
", ,STEVE

"00:08:36,195","00:08:37,905
",position,HANDSOME ROB

"00:08:37,947","00:08:39,448
", ,STELLA

"00:08:39,532","00:08:41,534
", ,STEVE

"00:08:41,617","00:08:45,413
", ,STEVE

"00:08:49,959","00:08:52,336
",out,RICHARD

"00:08:52,420","00:08:53,587
", ,JOHN BRIDGER

"00:08:57,091","00:08:58,259
", ,LYLE

"00:08:59,927","00:09:01,053
",going,LYLE

"00:09:01,137","00:09:03,055
",up,JOHN BRIDGER

"00:09:03,180","00:09:05,057
", ,JOHN BRIDGER

"00:09:08,853","00:09:09,812
", ,STEVE

"00:09:11,647","00:09:15,818
", ,LYLE

"00:09:15,901","00:09:17,069
", ,JOHN BRIDGER

"00:09:17,153","00:09:18,821
", ,STELLA

"00:09:18,904","00:09:20,448
", ,CHARLIE

"00:09:20,531","00:09:22,241
", ,LYLE

"00:09:23,618","00:09:24,619
", ,JOHN BRIDGER

"00:09:24,702","00:09:25,745
", ,RICHARD

"00:09:59,028","00:10:00,112
", ,RICHARD

"00:10:00,237","00:10:03,491
", ,HALF-EAR

"00:10:03,574","00:10:05,660
", ,STELLA

"00:10:05,743","00:10:07,954
",up,CHARLIE

"00:10:09,372","00:10:11,666
", ,CHARLIE

"00:10:37,566","00:10:38,943
", ,HANDSOME ROB

"00:10:41,195","00:10:42,113
", ,HANDSOME ROB

"00:10:43,406","00:10:45,908
",position,CHARLIE

"00:12:48,864","00:12:50,408
", ,PHILLY STEAK

"00:12:50,491","00:12:53,160
",way,STEVE

"00:12:53,244","00:12:54,829
", ,STELLA

"00:12:54,870","00:12:56,163
", ,CHARLIE

